Model,posted_at,Asking,Engine: ,Year,Length,Beam,Draft,Location,Material,Hull,Type,Rigging,Cabins,Condition
Catalina Catalina 38,30-Nov-2019,"$26,500",1 diesel inboard,1979,38',11.83',6.8',Outside United States,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,excellent
Whitby 25 folkboat,29-Nov-2019,"$4,000", gas outboard,1964,25',7',4',Maryland,fiberglass,monohull,cruiser,masthead sloop,,good
Hunter 31,29-Nov-2019,"$24,999",1 diesel inboard,1987,31',12',5',Florida,fiberglass,monohull,cruiser,ketch,1.0,good
Abbott Solings,29-Nov-2019,"$4,000",,1971,27',6',5',California,fiberglass,monohull,racer,,,good
 Laser,28-Nov-2019,"$2,500",,1999,',',',Florida,fiberglass,monohull,dinghy,,,excellent
Fountaine Pajot Salina Evolution,27-Nov-2019,"$445,000",2 diesel inboard,2011,48',25.25',3.6',Florida,fiberglass,catamaran,cruiser,cat boat,2.0,excellent
Marshall Sanderling Open daysailer,26-Nov-2019,"$39,500",1 gas outboard,2010,18',',',Connecticut,fiberglass,monohull,daysailer,cat boat,,excellent
 Laser Full Rig,25-Nov-2019,"$1,800",,1987,',',',New Jersey,fiberglass,monohull,racer,other,,good
Westall Nova 27,24-Nov-2019,"$8,000",1 diesel inboard,1972,27',9',5',Outside United States,fiberglass,monohull,cruiser,cutter,1.0,good
Jeanneau  and TPI Lagoon 35 CCC,23-Nov-2019,"$140,000",2 diesel inboard,96,35',15',3',California,composite,catamaran,cruiser,fractional sloop,2.0,excellent
Jeanneau Lagoon 35 CCC,22-Nov-2019,"$135,000",2 diesel inboard,96,35',15',3',California,fiberglass,catamaran,racer/cruiser,fractional sloop,2.0,excellent
Catalina sail,22-Nov-2019,"$3,000",1 gas outboard,1974,27',8.5',4',California,fiberglass,monohull,daysailer,masthead sloop,1.0,good
Hunter 42 Passage,22-Nov-2019,"$93,500",1 diesel inboard,1992,42',14',5',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Hunter 34,22-Nov-2019,"$35,000",1 diesel inboard,1986,34.5',11.7',4.3',Florida,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
Soling ,22-Nov-2019,"$7,500",,1984,27',6',4.5',Florida,fiberglass,monohull,racer,,,excellent
ODay CAL 33,21-Nov-2019,"$40,000",1 diesel inboard,1989,33',11.4',6.2',California,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Nickels Lightning,21-Nov-2019,"$8,800",,2005,19',6.6',',California,fiberglass,monohull,racer,fractional sloop,,excellent
Hunter 170,21-Nov-2019,"$5,500",1 gas outboard,2008,17',7',6',South Carolina,fiberglass,monohull,cruiser,,,excellent
Jeanneau Fantasia 27,20-Nov-2019,"$10,500",1 diesel inboard,1984,27',11',5',New York,fiberglass,monohull,cruiser,fractional sloop,1.0,good
Roberts Center Spray,20-Nov-2019,"$65,000",1 diesel inboard,1976,40',14.6',4.2',Outside United States,steel,monohull,motorsailer,ketch,2.0,good
Bristol 32,20-Nov-2019,"$20,000",1 diesel inboard,1979,32',9'6',4'7',Maryland,fiberglass,monohull,cruiser,,,
jenneau sun odyssey 50 DS,20-Nov-2019,"$278,000", gas inboard,2010,50',',',Rhode Island,fiberglass,monohull,motorsailer,,3.0,excellent
piver trimran,19-Nov-2019,"$10,000",1 gas outboard,1979,36',20',4',Outside United States,composite,trimaran,cruiser,cutter,2.0,
BRISTOL HERRESHOFF ,19-Nov-2019,"$40,000",1 diesel inboard,,',',',Outside United States,fiberglass,monohull,cruiser,masthead sloop,,excellent
Lugar leeward Daysailor,18-Nov-2019,$200, gas inboard,,16',',',Massachusetts,fiberglass,monohull,daysailer,ketch,,good
Pearson 27-2,18-Nov-2019,"$10,200",1 diesel inboard,1988,27',10.5',3.4',South Carolina,fiberglass,monohull,cruiser,fractional sloop,2.0,good
Allied Princess,18-Nov-2019,"$25,000",1 diesel inboard,1972,36',11',4.5',Outside United States,fiberglass,monohull,cruiser,ketch,1.0,good
HolopunI Mark I OCS,17-Nov-2019,"$15,000",,2000,30',17',1',California,fiberglass,trimaran,racer/cruiser,other,0.0,good
Prindel 16 cat,17-Nov-2019,"$1,100",,1980,16',',12',Florida,fiberglass,catamaran,daysailer,cat boat,,good
Hunter 44 DS,17-Nov-2019,"$130,000",1 diesel inboard,2004,44',14',5',Outside United States,fiberglass,monohull,cruiser,,2.0,good
Viper F-16,16-Nov-2019,"$7,000",0  inboard,2009,16',8.2',1.7',Florida,fiberglass,catamaran,racer,,0.0,excellent
Admiral Admiral 38,15-Nov-2019,"$165,000",2 diesel inboard,1999,38',23',3.5',Florida,fiberglass,catamaran,other,other,4.0,good
O'Day O'Day 28,15-Nov-2019,"$6,000",1 diesel inboard,1985,28',',',South Carolina,fiberglass,monohull,cruiser,,,fair
Hunter 23.5,15-Nov-2019,"$4,900",1 gas outboard,1993,23.5',8.3',5.5',Florida,fiberglass,monohull,cruiser,,,good
Catalina Catalina 27,15-Nov-2019,"$2,000",1 gas inboard,1976,27',8.83',4.5',Maryland,fiberglass,monohull,daysailer,,1.0,good
Cal Cal 33-2,13-Nov-2019,"$29,000",1 diesel inboard,1987,33',11.5',4'8',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Rhodes Bounty II,13-Nov-2019,"$39,000", diesel inboard,1957,41',10',6',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,fair
55m Class Sailing Yacht Nordic Cruiser,12-Nov-2019,"$15,000",1 diesel inboard,1958,35',7.2',5',Outside United States,wood,monohull,racer/cruiser,fractional sloop,1.0,fair
Ericson 26,10-May-2022,"$5,000",1 diesel inboard,1986,26',9',4.5',Maine,fiberglass,monohull,cruiser,,1.0,good
Westerly Konsort 29,11-May-2022,"$19,000",1 diesel inboard,1985,29',10.75',3.4',Texas,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
McConaghy MC75,10-May-2022,"$6,700,000",2 diesel inboard,2023,76'4'',32'2'',5'5'',Florida,composite,catamaran,cruiser,,5.0,
Hunter 46LE,26-Jun-2022,"$185,000",1 diesel inboard,2006,46',14',5.5',Outside United States,fiberglass,monohull,cruiser,masthead sloop,4.0,excellent
Formula Evelyn 42,10-May-2022,"$25,000",1 diesel inboard,1989,42',12'8',8'3',Virginia,fiberglass,monohull,racer,,5.0,
Seawind 1000 XL2,10-May-2022,"$245,000",2 gas outboard,2013,35'0'',19'5'',',California,fiberglass,catamaran,cruiser,,,
Tayana Cutter,10-May-2022,"$44,900",1 diesel inboard,1981,37',11.6',5.8',Florida,fiberglass,monohull,cruiser,cutter,,good
Beneteau Oceanis,10-May-2022,"$369,000",1 diesel inboard,2021,42'3'',13'9'',',Florida,fiberglass,monohull,racer/cruiser,,3.0,
Amel Maramu,10-May-2022,"$56,000", diesel inboard,1984,46',',',Outside United States,fiberglass,monohull,cruiser,ketch,2.0,good
Pearson 365 Ketch,09-May-2022,"$27,000",1 diesel inboard,1978,36.5',11.5',4.5',North Carolina,fiberglass,monohull,cruiser,ketch,1.0,good
Island Packet 320,09-May-2022,"$115,900",1 diesel inboard,1998,32',12',4.25',California,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Com-Pac 16,10-May-2022,"$3,850",1 gas outboard,1982,16',6',1.5',Florida,fiberglass,monohull,daysailer,masthead sloop,1.0,excellent
O'Day 31 Sloop,10-May-2022,"$21,000",1 diesel inboard,1986,31'',10'9',5'4',Texas,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Hunter 30-2,09-May-2022,"$23,500",1 diesel inboard,1989,30',11',4.5',Wisconsin,fiberglass,monohull,cruiser,fractional sloop,1.0,excellent
van de stadt classic sirius,09-May-2022,"$2,800",0 gas outboard,1982,22',7   8',2 - 5',Illinois,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Caliber 35 Long Range Cruiser LRC,14-Jul-2022,"$99,950",1 diesel inboard,1997,35',11'4',4'6',Florida,fiberglass,monohull,cruiser,cutter,2.0,good
Elan 7.7,09-May-2022,"$22,900",1 gas outboard,1996,25',20',4.7',Maine,fiberglass,trimaran,racer/cruiser,masthead sloop,1.0,good
Boat Heaven Yard Cape Town So Africa Dewars62,09-May-2022,"$75,000",1 diesel inboard,1991,62',16',7.5',Florida,aluminum,monohull,racer/cruiser,ketch,4.0,project boat
Cheoy Lee Pedrick,09-May-2022,"$84,900",1 diesel inboard,1982,41',12'8',9',Florida,fiberglass,monohull,cruiser,,2.0,
 Sumner Islands,09-May-2022,"$2,495",,1979,17',6'6',7-3.6',Virginia,fiberglass,monohull,cruiser,fractional sloop,0.0,good
Hunter 212,09-May-2022,"$2,500",1 gas outboard,2000,21',9.17',5.8',Minnesota,other,monohull,daysailer,cutter,1.0,fair
Morgan 34,22-May-2022,"$12,500",1 diesel inboard,1967,34',10',3'3',Massachusetts,fiberglass,monohull,cruiser,masthead sloop,2.0,good
S2 S2 Yacht,09-May-2022,"$5,000",1 gas inboard,1978,26',9.',3',Florida,fiberglass,monohull,motorsailer,cutter,1.0,good
Bimare F18HT Javelin,08-May-2022,"$4,900",,2002,18',8.2',',Florida,fiberglass,catamaran,racer,other,,excellent
Flying Scot 4227 Flying Scot,08-May-2022,"$4,900",1 gas outboard,,19',6'9',4'',Connecticut,fiberglass,monohull,racer,,,good
J Boats J29 MHOB,08-May-2022,"$17,500",1 gas outboard,1985,29',11',5.6',Maryland,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
Beneteau 423,07-May-2022,"$175,000",1 diesel inboard,2005,42',13',6',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Wauquiez Pretorien 35,08-May-2022,"$59,999",1 diesel inboard,1986,35',11.8',5.9',Florida,fiberglass,monohull,cruiser,cutter,,excellent
Siltala Nauticat 36,08-May-2022,"$86,000",1 diesel inboard,1985,38',11',5.5',Washington,fiberglass,monohull,cruiser,ketch,4.0,good
Nautivela i420,07-May-2022,"$6,000",0 gas inboard,2015,14',4',',California,fiberglass,monohull,cruiser,other,0.0,excellent
Alcort now Laser Preformance Sunfish Sail Boat,07-May-2022,"$1,450",,,14',4',3'',Pennsylvania,fiberglass,monohull,cruiser,other,,excellent
catalina mk2,07-May-2022,"$22,500",1 gas inboard,2009,25',8',4',Pennsylvania,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
robertson and caine LEOPARD 47,07-May-2022,"$339,500",2 diesel inboard,2004,47',24',4',Outside United States,fiberglass,catamaran,cruiser,fractional sloop,4.0,excellent
Hunter H285,07-May-2022,"$7,900",1 diesel inboard,1987,28'6',106',5'2',Michigan,fiberglass,monohull,cruiser,masthead sloop,,
O'Day 30,08-May-2022,"$16,000",1 diesel inboard,1979,30',10',5',North Carolina,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Pearson 27-2,07-May-2022,"$20,750",1 diesel inboard,1988,27',8.5',3.5',Maryland,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,good
Morgan Out Island,07-May-2022,"$25,000",1 diesel inboard,1974,33',11.8',4',Outside United States,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Hunter 36,06-May-2022,"$75,000",1 diesel inboard,2005,36',12',5',Maryland,fiberglass,monohull,cruiser,fractional sloop,2.0,good
Tucker Charybdis Mk 2,07-May-2022,"$19,000",1 diesel inboard,1978,35.5',10.75',5.5',Outside United States,steel,monohull,cruiser,ketch,2.0,good
Precision 17 17.5 length,06-May-2022,"$4,500",1 gas outboard,89,17.5',7.5',1.5',North Carolina,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Bristol 35.5,06-May-2022,"$49,000",1 diesel inboard,1986,35.5',10.10',3.9',Massachusetts,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Seidelmann Yachts Sonar,06-May-2022,"$7,900",1 gas outboard,1982,23',7.83',3.9',Minnesota,fiberglass,monohull,racer/cruiser,fractional sloop,1.0,good
Beneteau 331,07-May-2022,"$75,000",1 diesel inboard,2004,33',11',4-4',New Jersey,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Menger Catboat,06-May-2022,"$16,200",1 diesel inboard,1997,19',8',1.5',New York,fiberglass,monohull,daysailer,cat boat,1.0,good
Westsail 32,06-May-2022,"$49,000", gas inboard,1975,32',',5',North Carolina,fiberglass,monohull,cruiser,cutter,,good
Pearson 332,06-May-2022,"$37,000", gas inboard,197,33',',3.6',North Carolina,fiberglass,monohull,cruiser,masthead sloop,,good
westerly F1 glass Dev UK Medusa 25,05-May-2022,"$2,000",1 gas outboard,1972,25',8',2.5',Virginia,fiberglass,monohull,cruiser,masthead sloop,2.0,fair
Melges E Scow,05-May-2022,"$3,500",,1998,28',6' 9',',Wisconsin,fiberglass,monohull,racer,fractional sloop,0.0,good
Island Packet Island Packet 31,05-May-2022,"$36,000",1 diesel inboard,1987,31',11',4',Massachusetts,fiberglass,monohull,cruiser,masthead sloop,3.0,good
Albin Ballad,06-May-2022,"$30,000",1 diesel inboard,1974,30',9.6',5',Outside United States,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Vanguard Laser Pro Race,05-May-2022,"$4,600",0 gas inboard,2005,14',',',New York,fiberglass,monohull,racer,,,excellent
Merit 25,05-May-2022,"$11,000",1 other inboard,1982,25',8',4',Idaho,fiberglass,monohull,cruiser,,,excellent
Liberty Pied Piper,05-May-2022,"$27,500",1 diesel inboard,1987,28',8'6',4',Florida,fiberglass,monohull,other,,1.0,
Irwin 42' Center cockpit Cutter Rigged ketch,05-May-2022,"$62,500",1 diesel inboard,1976,42',13.3',4.5',New Hampshire,fiberglass,monohull,cruiser,ketch,3.0,excellent
 Crealock 37,05-May-2022,"$60,000",1 diesel inboard,1977,',10'11',5'6',Virginia,fiberglass,monohull,cruiser,yawl,2.0,good
TRT 1200 Owner's Version,06-May-2022,"$249,000",2 gas inboard,2002,40',24.9',3.5',Florida,fiberglass,catamaran,racer/cruiser,,4.0,excellent
Corbin 39,04-May-2022,"$89,000",1 diesel inboard,1991,39',12.08',5.5',Outside United States,fiberglass,monohull,cruiser,cutter,2.0,good
Hunter 34,04-May-2022,"$24,900", diesel inboard,1986,34',11.5',4.5',Maryland,fiberglass,monohull,cruiser,schooner,1.0,excellent
Candian Sailcraft 36 Marlin,04-May-2022,"$60,000",1 diesel inboard,1987,36',11'6',6'3',Outside United States,fiberglass,monohull,cruiser,masthead sloop,,
WESTSAIL CORP CALIFORNIA USA WESTSAIL  42' 11,04-May-2022,"$45,000",0 diesel inboard,1976,42'',13'-0',5'8',Outside United States,fiberglass,monohull,other,ketch,2.0,good
Hunter 376,04-May-2022,"$69,454",1 diesel inboard,1996,37',12',6',Outside United States,fiberglass,monohull,cruiser,,2.0,
newport Mark III,04-May-2022,"$16,500",1 diesel inboard,1985,30',10.6',5.1',Maryland,fiberglass,monohull,cruiser,masthead sloop,1.0,good
criscraft carribean carribean,05-May-2022,"$20,000",1 diesel inboard,1974,35',10',4.2',South Carolina,fiberglass,monohull,cruiser,masthead sloop,3.0,good
Tartan 41,04-May-2022,"$54,900", diesel inboard,1973,41',12.25',6.8',,fiberglass,monohull,cruiser,cutter,2.0,good
Island Packet ,04-May-2022,"$39,995",1 diesel inboard,1990,27',10.5',3',Massachusetts,fiberglass,monohull,cruiser,,2.0,good
Ericson 32-3,04-May-2022,"$39,500",1 diesel inboard,1988,32',11',5',Massachusetts,fiberglass,monohull,cruiser,masthead sloop,2.0,good
MacGregor Venture 21,04-May-2022,"$1,000",1 gas outboard,1970,21',8',1'3',Massachusetts,fiberglass,monohull,cruiser,,,fair
HakeYacht Seaward-25,03-May-2022,"$26,500",1 diesel inboard,1996,26'9',8.5',2.2',California,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
MacGregor 26X,03-May-2022,"$20,000",1 gas outboard,2002,26',8',6',California,fiberglass,monohull,motorsailer,fractional sloop,1.0,excellent
Pearson P26,03-May-2022,"$7,000", gas outboard,1982,26',',4',Vermont,fiberglass,monohull,cruiser,,,
Catalina 27' sailboat,04-May-2022,"$6,500",1 diesel inboard,1983,27',9',4',Arizona,fiberglass,monohull,daysailer,masthead sloop,1.0,good
Jongert Trewes Steel Custom Ketch,03-May-2022,"$148,000",1 diesel inboard,1972,52',15',6',Outside United States,steel,monohull,cruiser,ketch,4.0,good
Catalina 34,04-May-2022,"$42,500", diesel inboard,1988,34',11.9',3-10',Florida,fiberglass,monohull,cruiser,,,excellent
Catalina Mark 1  tall rig fin keel,04-May-2022,"$19,900",1 diesel inboard,1987,36.5',11.9',5.10',Outside United States,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
MacGregor Newport Venture,04-May-2022,"$7,000",1 gas outboard,1976,23',7.17',5.50',Georgia,fiberglass,monohull,daysailer,cutter,1.0,excellent
Contest 36s,04-May-2022,"$55,000",1 diesel inboard,1985,36',11'8',6'3',Connecticut,fiberglass,monohull,racer/cruiser,fractional sloop,3.0,excellent
Koopmans Explorer,03-May-2022,"$350,000",2 diesel inboard,2008,46',13'2'',',Florida,fiberglass,monohull,cruiser,,3.0,
Diller-Schwill Vision 660 later named DS 22,05-May-2018,"$3,300",1 gas outboard,1975,22',8',2'',New Hampshire,fiberglass,monohull,daysailer,masthead sloop,,good
Catalina 30,05-May-2018,"$7,800",1 gas inboard,1979,30',10.5',4.5',Connecticut,fiberglass,monohull,cruiser,,,good
Bristol Bristol 27,04-May-2018,"$5,000",1 gas inboard,1980,27',',',Maine,fiberglass,monohull,cruiser,,2.0,good
S2 S2 26ft Sloop rigged,04-May-2018,"$4,500",1 gas outboard,1975,26',8',4',Missouri,fiberglass,monohull,daysailer,masthead sloop,1.0,good
Pearson Ensign,04-May-2018,"$9,500",1 gas outboard,1964,22.5',',',Massachusetts,fiberglass,monohull,daysailer,fractional sloop,,excellent
Beneteau First 375,03-May-2018,"$54,000",1 diesel inboard,1985,37.75',11.75',5.5',Texas,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,good
Pearson P26,03-May-2018,"$4,000",1 gas outboard,1976,26',',4',Massachusetts,fiberglass,monohull,cruiser,other,1.0,excellent
Kelley Peterson 44,02-May-2018,"$112,000",1 diesel inboard,1979,44',13.5',6'4',,fiberglass,monohull,cruiser,cutter,0.0,excellent
Islander MKII,01-May-2018,"$7,000",1 gas inboard,1971,30',10',5',California,fiberglass,monohull,cruiser,masthead sloop,1.0,good
jensen cal,01-May-2018,"$10,000",1 diesel inboard,1976,29',8',"5' 4""'",California,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Gouteron Solano 35,01-May-2018,"$44,400",1 diesel inboard,1978,35',10'6',5' 9',Texas,fiberglass,monohull,racer/cruiser,masthead sloop,3.0,excellent
Beneteau Oceanis 351,01-May-2018,"$69,000",1 diesel inboard,1997,35',',',South Carolina,fiberglass,monohull,cruiser,,,excellent
Corsair 28 CC,01-May-2018,"$89,000",1 gas outboard,2009,28.5',"19'9""'",4' 11',California,fiberglass,trimaran,racer/cruiser,other,2.0,excellent
Olson Olson 30,30-Apr-2018,"$11,500",1 gas outboard,1982,30',9',5.1',Michigan,fiberglass,monohull,racer,masthead sloop,1.0,good
Opti ,30-Apr-2018,"$3,000", other inboard,2005,8',',',Massachusetts,fiberglass,monohull,daysailer,other,,excellent
Macgregor V222,30-Apr-2018,"$1,500", gas outboard,1978,22',7.33',5.5',California,fiberglass,monohull,cruiser,schooner,1.0,good
McLauglin Opti,30-Apr-2018,"$1,600",,2001,8',',',New Jersey,fiberglass,monohull,dinghy,other,,excellent
hobie 18,29-Apr-2018,"$2,000", gas inboard,1982,18',8',1',Illinois,fiberglass,catamaran,dinghy,masthead sloop,,good
Catalina Yachts Catalina,29-Apr-2018,"$13,500",1 gas outboard,1997,25',8',4',Maryland,fiberglass,monohull,cruiser,,1.0,excellent
Cape Dory CD25,29-Apr-2018,"$12,000",1 gas outboard,1981,25',7.5',3.5',Vermont,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Hughes Columbia 8.7,28-Apr-2018,"$17,000",1 diesel inboard,1982,29',10',4.6',Outside United States,fiberglass,monohull,cruiser,fractional sloop,1.0,good
Hunter 30,28-Apr-2018,"$8,000",1 gas inboard,1978,30',10'1',',New York,fiberglass,monohull,cruiser,,,excellent
Island Packet 420,28-Apr-2018,"$249,000",1 diesel inboard,2002,44.6',14',4.5',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Catalina 27,28-Apr-2018,"$8,595",1 diesel inboard,1985,27',8'10',',Pennsylvania,fiberglass,monohull,cruiser,,,excellent
WD Shock Santana,27-Apr-2018,"$17,000",1 gas outboard,2006,22',7.5',3.5',California,fiberglass,monohull,racer/cruiser,masthead sloop,,good
Leon F Irish Challenger,27-Apr-2018,"$1,200",,1978,15',5.5',',Ohio,fiberglass,monohull,dinghy,fractional sloop,,good
Vanguard International 470,27-Apr-2018,"$1,650",,1972,15',',',Pennsylvania,fiberglass,monohull,racer,fractional sloop,,good
Archambault A40,27-Apr-2018,"$102,000",1 diesel inboard,2005,40',12.3',7.8',Outside United States,fiberglass,monohull,racer/cruiser,fractional sloop,3.0,excellent
Jeanneau 490 Sun Odyssey,26-Apr-2018,"$500,600",1 diesel inboard,2019,47'3',14',7'5',California,fiberglass,monohull,cruiser,fractional sloop,3.0,new
Chrysler Buccaneer,26-Apr-2018,$400,0 other inboard,1979,18',7',4',California,fiberglass,monohull,daysailer,ketch,0.0,good
Jeanneau 440 Sun Odyssey,26-Apr-2018,"$335,651",1 diesel inboard,2020,42'7',14',7'2',California,fiberglass,monohull,cruiser,fractional sloop,3.0,new
Chrysler Mutineer 15,26-Apr-2018,"$1,200",,1972,15',6',4',Illinois,fiberglass,monohull,racer,fractional sloop,,excellent
Bruce Roberts Offshore 39.5,25-Apr-2018,"$55,000",1 diesel inboard,2006,39.5',12',5.8',Louisiana,fiberglass,monohull,cruiser,fractional sloop,,excellent
Whitby Centercocpit Ketch,25-Apr-2018,"$32,500", diesel inboard,1980,42',12'6',5'6',Florida,fiberglass,monohull,cruiser,ketch,2.0,good
Mclaughlin Optimist,25-Apr-2018,"$2,000",,2012,8',4',.25',Connecticut,fiberglass,monohull,daysailer,other,0.0,excellent
Catalina Catalina 30 tall rig,25-Apr-2018,"$15,000",1 diesel inboard,1985,30',11',4',Maryland,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Hunter 28.5,25-Apr-2018,"$8,400",1 diesel inboard,1985,28.5',9.5',4',North Carolina,fiberglass,monohull,cruiser,masthead sloop,,good
Catalina Yachts Coronado 15,25-Apr-2018,$949,,1984,15'-4',"5""-8""'",',Indiana,fiberglass,monohull,daysailer,fractional sloop,,fair
Islander 32 Mk II,25-Apr-2018,"$25,000",1 diesel inboard,1978,32',10.5',4',Outside United States,fiberglass,monohull,cruiser,,0.0,
Catalina 42 Mark II,25-Apr-2018,"$114,000",1 diesel inboard,1996,42',13'10',4'11',Alabama,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
Parker Dawson Parker Dawson 26,24-Apr-2018,"$8,500",1 diesel inboard,1983,26',8',"1' 8""'",Michigan,fiberglass,monohull,cruiser,masthead sloop,2.0,good
pearson countess 44,24-Apr-2018,"$50,000",1 gas inboard,1965,44',12',6',Florida,fiberglass,monohull,daysailer,fractional sloop,1.0,fair
Irwin Center cockpit,24-Apr-2018,"$27,500",1 diesel inboard,1976,37',12',5',Virginia,fiberglass,monohull,cruiser,ketch,3.0,good
Hunter Marine USA 30T Tall Mast Sloop,24-Apr-2018,"$27,900",1 diesel inboard,1990,30.6',11.5',4.3',Louisiana,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Pearson 422 ketch,23-Apr-2018,"$16,000",1 diesel inboard,1984,42',13',5.25',Florida,fiberglass,monohull,cruiser,ketch,2.0,good
scampi markIV,21-Apr-2018,"$7,500", diesel inboard,1974,30',9.5',5',New Hampshire,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Hunter 22,20-Apr-2018,"$3,000",1 gas outboard,1981,22'3',7'10',1'10',Florida,fiberglass,monohull,cruiser,,,good
Alberg Kittiwake Kenner Ray Green,20-Apr-2018,"$5,000",1 gas outboard,1974,23'7',7'6',2'10',Kansas,fiberglass,monohull,cruiser,,,excellent
Jensen Cal 34,20-Apr-2018,"$11,500",1 gas inboard,1968,33'6',10',5',California,fiberglass,monohull,cruiser,,,new
Cascade Cascade 36,18-Apr-2018,"$5,000",1 diesel inboard,1973,36',10',6',Wisconsin,fiberglass,monohull,cruiser,masthead sloop,1.0,project boat
West Indies Morgan 38' Outisland,18-Apr-2018,"$18,000",1 diesel inboard,1976,38',',',Wisconsin,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Morgan 43 Center Cockpit,18-Apr-2018,"$89,500",1 diesel inboard,1985,43',13.6',6',Massachusetts,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Hobie Wave,18-Apr-2018,"$4,950",0 gas inboard,2015,13',',',Florida,other,catamaran,other,other,0.0,excellent
Hunter 34,17-Apr-2018,"$18,000",1 diesel inboard,1987,34',"11'4""'","4'5""'",Maryland,fiberglass,monohull,racer/cruiser,masthead sloop,3.0,fair
Hobie Bravo,17-Apr-2018,"$2,500",,2014,12',',',Florida,other,catamaran,other,other,0.0,excellent
Hake Yachts Seaward Slipper 17,17-Apr-2018,"$1,700",0 gas outboard,1983,17',8',1.5',Florida,fiberglass,monohull,daysailer,fractional sloop,1.0,good
Tartan 27 MK1,16-Apr-2018,"$5,500",1 diesel inboard,1974,27',8.5',3' 2',South Carolina,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,fair
West Wight Potter Potter 10,16-Apr-2018,"$29,500",1 gas outboard,2016,19',7'6',3'6',California,fiberglass,monohull,cruiser,fractional sloop,1.0,excellent
Pearson 303,16-Apr-2018,"$9,950",1 diesel inboard,1985,30',',4.4',New Jersey,fiberglass,monohull,cruiser,masthead sloop,2.0,good
MacGregor 26,16-Apr-2018,"$11,500",1 gas outboard,2000,26',8',9',Iowa,fiberglass,monohull,motorsailer,other,1.0,excellent
Jeanneau Sun Odessey,15-Apr-2018,"$200,000",1 diesel inboard,1990,51',16',6.5',Outside United States,fiberglass,monohull,racer/cruiser,masthead sloop,3.0,excellent
Tremolino T-Gull 23,15-Apr-2018,"$18,000",1 gas outboard,2001,23',18',1.5',Wisconsin,fiberglass,trimaran,daysailer,fractional sloop,2.0,excellent
West Wight Potter 15',15-Apr-2018,"$10,000",1 gas outboard,1995,15'',8'',0',New Jersey,fiberglass,monohull,cruiser,other,1.0,excellent
Hunter 34,15-Apr-2018,"$18,900",1 diesel inboard,,34',',',Oklahoma,fiberglass,monohull,cruiser,,2.0,excellent
Island Packet IP 38,15-Apr-2018,"$138,000", diesel inboard,1988,38',',4',Maryland,fiberglass,monohull,cruiser,cutter,2.0,excellent
Catalina 30 Tall Rig,15-Apr-2018,"$10,500",1 diesel inboard,1986,30',10'10',5'3',New York,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Irwin 37 center cockpit  Pilot-house,14-Apr-2018,"$56,500",1 diesel inboard,,37',12'8',4'10',Florida,fiberglass,monohull,cruiser,ketch,3.0,excellent
Walker Bay 10,14-Apr-2018,"$1,500",0 gas inboard,2003,"9'8""'",',',Illinois,fiberglass,monohull,daysailer,,0.0,excellent
Hunter 26.5,14-Apr-2018,"$6,800",1 gas outboard,1988,26'6',9',3'6',North Carolina,fiberglass,monohull,cruiser,,,excellent
Catalina C27 Tall Rig,14-Apr-2018,"$10,000",1 diesel inboard,1985,27',8',4',Michigan,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Catalina 25,13-Apr-2018,"$5,000",1 gas outboard,1980,25',8',6',Ohio,fiberglass,monohull,cruiser,,,
Catalina 309,13-Apr-2018,"$65,000",1 diesel inboard,2006,31',11'6',4'4',Rhode Island,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
